JournalTitle,MedAbbr,ISSN,eISSN,JIF_2024,JIF_Quartile,CAS_Quartile
International journal of yoga,Int J Yoga,0973-6131,2231-2714,1.1,Q4,
International journal of vascular medicine,Int J Vasc Med,2090-2824,2090-2832,1.1,Q4,
Diving and hyperbaric medicine,Diving Hyperb Med,1833-3516,2209-1491,1.1,Q4,
Arab journal of gastroenterology : the official publication of the Pan-Arab Association of Gastroenterology,Arab J Gastroenterol,1687-1979,2090-2387,1.1,Q4,
Innovations in systems and software engineering,Innov Syst Softw Eng,1614-5046,1614-5054,1.1,Q4,4.0
"Journal of anaesthesiology, clinical pharmacology",J Anaesthesiol Clin Pharmacol,0970-9185,2231-2730,1.1,Q4,
International journal of nanoscience,Int J Nanosci,0219-581X,1793-5350,1.1,Q4,4.0
Journal of educational and psychological consultation : the official journal of the Association for Educational and Psychological Consultants,J Educ Psychol Consult,1047-4412,1532-768X,1.1,Q4,
Western Pacific surveillance and response journal : WPSAR,Western Pac Surveill Response J,2094-7321,2094-7313,1.1,Q4,
International journal of healthcare management,Int J Healthc Manag,2047-9700,2047-9719,1.1,Q4,
Molecular imaging and radionuclide therapy,Mol Imaging Radionucl Ther,2146-1414,2147-1959,1.1,Q4,
Applied neuropsychology. Child,Appl Neuropsychol Child,2162-2965,2162-2973,1.1,Q4,
African journal of ecology,Afr J Ecol,0141-6707,1365-2028,1.1,Q4,4.0
Acta neuropsychologica : the official journal of the Polish Neuropsychological Society,Acta Neuropsychol,1730-7503,2084-4298,1.1,Q4,
International journal of nanodimension,Int J Nanodimens,2008-8868,2228-5059,1.1,Q4,4.0
Theoretical ecology,Theor Ecol,1874-1738,1874-1746,1.1,Q4,4.0
Basic and clinical neuroscience,Basic Clin Neurosci,2008-126X,2228-7442,1.1,Q4,
"Mental health review (Brighton, England)",Ment Health Rev (Brighton),1361-9322,2042-8758,1.1,Q4,
"Criminal justice studies (Abingdon, England)",Crim Justice Stud (Abingdon),1478-601X,1478-6028,1.1,Q4,
Physics and chemistry of liquids,Phys Chem Liquids,0031-9104,1029-0451,1.1,Q4,4.0
International journal of pharmaceutical and healthcare marketing,Int J Pharm Healthc Mark,1750-6123,1750-6131,1.1,Q4,
Noro psikiyatri arsivi,Noro Psikiyatr Ars,1300-0667,1309-4866,1.1,Q4,
Journal of sensors,J Sens,1687-725X,1687-7268,1.1,Q4,
Journal of micro-bio robotics,J Microbio Robot,2194-6418,2194-6426,1.1,Q4,4.0
"Proceedings of the Institution of Mechanical Engineers. Part P, Journal of sports engineering and technology",Proc Inst Mech Eng P J Sport Eng Technol,1754-3371,1754-338X,1.1,Q4,
International journal of disaster resilience in the built environment,Int J Disaster Resil Built Environ,1759-5908,1759-5916,1.1,Q4,
"Journal of occupational therapy, schools & early intervention",J Occup Ther Sch Early Interv,1941-1243,1941-1251,1.1,Q4,
Journal of pancreatology,J Pancreatol,2096-5664,2577-3577,1.1,Q4,
Journal of Wuhan University of Technology. Materials science edition,J Wuhan Univ Technol Mater Sci Ed,1000-2413,1993-0437,1.1,Q4,4.0
Journal of electromagnetic waves and applications,J Electromagn Waves Appl,0920-5071,1569-3937,1.1,Q4,
Recent advances in inflammation & allergy drug discovery,Recent Adv Inflamm Allergy Drug Discov,2772-2708,2772-2716,1.1,Q4,
Acta carsologica = Krasoslovni zbornik,Acta Carsologica,0583-6050,1580-2612,1.1,Q4,
The Egyptian journal of medical human genetics,Egypt J Med Hum Genet,1110-8630,2090-2441,1.1,Q4,
Current issues in personality psychology,Curr Issues Personal Psychol,2353-4192,2353-561X,1.1,Q4,
Ecological restoration,Ecol Restor,1543-4060,1543-4079,1.1,Q4,4.0
"Canadian journal of respiratory, critical care, and sleep medicine",Can J Respir Crit Care Sleep Med,2474-5332,2474-5340,1.1,Q4,
Environmental archaeology : the journal of human palaeoecology,Environ Archaeol,1461-4103,1749-6314,1.1,Q4,3.0
Journal of digestive endoscopy,J Dig Endosc,0976-5042,0976-5050,1.1,Q4,
Current research in nutrition and food science,Curr Res Nutr Food Sci,2347-467X,2322-0007,1.1,Q4,
"REC, interventional cardiology",REC Interv Cardiol,2604-7306,2604-7276,1.1,Q4,
Speculum,Speculum,0038-7134,2040-8072,1.1,,
"Res publica (Liverpool, England)",Res Publica,1356-4765,,1.1,,
Philosophical explorations : an international journal for the philosophy of mind and action,Philos Explor,1386-9795,1741-5918,1.1,,
Levant,Levant,0075-8914,1756-3801,1.1,,
The design journal,Des J (Aldershot),1460-6925,1756-3062,1.1,,
Reformation,Reformation,1357-4175,1752-0738,1.1,,
Continuity and change,Contin Chang,0268-4160,1469-218X,1.0,Q1,
"Revue historique (Paris, France)",Rev Hist (Paris),0035-3264,,1.0,Q1,
Suid-Afrikaanse historiese joernaal,S Afr Hist J,0258-2473,,1.0,Q1,
Social science history,Soc Sci Hist,0145-5532,,1.0,Q1,
European review of economic history,Eur Rev Econ Hist,1361-4916,1474-0044,1.0,Q1,
History and philosophy of the life sciences,Hist Philos Life Sci,0391-9714,1742-6316,1.0,Q2,
Fordham law review,Fordham Law Rev,0015-704X,,1.0,Q2,
Osiris,Osiris,0369-7827,,1.0,Q2,
The American journal of comparative law,Am J Comp Law,0002-919X,,1.0,Q2,
Oxford journal of legal studies,Oxf J Leg Stud,0143-6503,1464-3820,1.0,Q2,
Law & social inquiry : journal of the American Bar Foundation,Law Soc Inq,0897-6546,,1.0,Q2,
Clinical linguistics & phonetics,Clin Linguist Phon,0269-9206,1464-5076,1.0,Q2,
Journal of anthropological research,J Anthropol Res,0091-7710,,1.0,Q2,
Eastern European politics and societies : EEPS,East Eur Polit Soc,0888-3254,,1.0,Q2,
"Syntax (Oxford, England)",Syntax,1368-0005,,1.0,Q2,
Measurement : interdisciplinary research and perspectives,Measurement ( Mahwah N J),1536-6367,1536-6359,1.0,Q2,
"Journal of computational mathematics : an international journal on numerical methods, analysis and applications",J Comput Math,0254-9409,1991-7139,1.0,Q2,
International review of law and economics,Int Rev Law Econ,0144-8188,1873-6394,1.0,Q2,
Lexikos,Lexikos,1684-4904,2224-0039,1.0,Q2,
"Mortality (Abingdon, England)",Mortality (Abingdon),1357-6275,1469-9885,1.0,Q2,
The American journal of evaluation,Am J Eval,1098-2140,1557-0878,1.0,Q2,
Interpreting : international journal of research and practice in interpreting,Interpreting (Amst),1384-6647,1569-982X,1.0,Q2,
Critical African studies,Crit Afr Stud,2168-1392,2040-7211,1.0,Q2,
Communications in mathematics and statistics,Commun Math Stat,2194-6701,2194-671X,1.0,Q2,
Journal of human rights practice,J Hum Rights Pract,1757-9619,1757-9627,1.0,Q2,
International journal of osteoarchaeology,Int J Osteoarchaeol,1047-482X,1099-1212,1.0,Q2,
Journal of graph theory,J Graph Theory,0364-9024,1097-0118,1.0,Q2,
Integral transforms and special functions,Integral Transform Spec Funct,1065-2469,1476-8291,1.0,Q2,
Journal of inverse and ill-posed problems,J Inverse Ill Posed Probl,0928-0219,1569-3945,1.0,Q2,
SIAM journal on discrete mathematics,SIAM J Discret Math,0895-4801,1095-7146,1.0,Q2,
Corpus pragmatics : international journal of corpus linguistics and pragmatics,Corpus Pragmat,2509-9507,2509-9515,1.0,Q2,
Journal of legislative studies,J Legis Stud,1357-2334,1743-9337,1.0,Q2,
Mathematische Zeitschrift,Math Z,0025-5874,1432-1823,1.0,Q2,
Linear & multilinear algebra,Linear Multilinear Algebra,0308-1087,1563-5139,1.0,Q2,
Comparative Southeast European studies,Comp Southeast Eur Stud,2701-8199,2701-8202,1.0,Q2,
Acta medica portuguesa,Acta Med Port,0870-399X,1646-0758,1.0,Q3,
Acta oto-laryngologica,Acta Otolaryngol,0001-6489,1651-2251,1.0,Q3,
"Anatomia, histologia, embryologia",Anat Histol Embryol,0340-2096,1439-0264,1.0,Q3,
The Journal of craniofacial surgery,J Craniofac Surg,1049-2275,1536-3732,1.0,Q3,
Zoological science,Zoolog Sci,0289-0003,,1.0,Q3,
Biocell : official journal of the Sociedades Latinoamericanas de Microscopia Electronica ... et. al,Biocell,0327-9545,1667-5746,1.0,Q3,
The Canadian veterinary journal = La revue veterinaire canadienne,Can Vet J,0008-5286,,1.0,Q3,
Current science,Curr Sci,0011-3891,,1.0,Q3,4.0
Journal of the American Mosquito Control Association,J Am Mosq Control Assoc,8756-971X,1943-6270,1.0,Q3,
Malacologia,Malacologia,0076-2997,,1.0,Q3,
Nursing economic$,Nurs Econ,0746-1739,,1.0,Q3,
Pediatric annals,Pediatr Ann,0090-4481,1938-2359,1.0,Q3,
Rehabilitation nursing : the official journal of the Association of Rehabilitation Nurses,Rehabil Nurs,0278-4807,2048-7940,1.0,Q3,
Journal of pediatric endocrinology & metabolism : JPEM,J Pediatr Endocrinol Metab,0334-018X,2191-0251,1.0,Q3,
Enfermeria intensiva,Enferm Intensiva,1130-2399,1578-1291,1.0,Q3,
Journal of pediatric orthopedics. Part B,J Pediatr Orthop B,1060-152X,1473-5865,1.0,Q3,
Journal of shellfish research,J Shellfish Res,0730-8000,,1.0,Q3,
Nova Hedwigia,Nova Hedwigia,0029-5035,,1.0,Q3,
Herpetological monograph,Herpetological Monographs,0733-1347,,1.0,Q3,
Canadian journal of plant science. Revue canadienne de phytotechnie,Can J Plant Sci,0008-4220,,1.0,Q3,
Lifetime data analysis,Lifetime Data Anal,1380-7870,1572-9249,1.0,Q3,
Invertebrate biology : a quarterly journal of the American Microscopical Society and the Division of Invertebrate Zoology/ASZ,Invertebr Biol,1077-8306,1744-7410,1.0,Q3,
International journal of acarology,Int J Acarol,0164-7954,,1.0,Q3,
International journal of surgical pathology,Int J Surg Pathol,1066-8969,1940-2465,1.0,Q3,
Canadian journal of physics,Can J Phys,0008-4204,1208-6045,1.0,Q3,
"Stratigraphy and geological correlation = Stratigrafiya, geologicheskaya korrelyatsiya",Stratigr Geol Correl,0869-5938,,1.0,Q3,
Forest pathology,For Pathol,1437-4781,,1.0,Q3,
The Journal of industrial economics,J Ind Econ,0022-1821,1467-6451,1.0,Q3,
Political theory,Polit Theory,0090-5917,,1.0,Q3,
The Scandinavian economic history review,Scand Econ Hist Rev,0358-5522,,1.0,Q3,
Society & animals : social scientific studies of the human experience of other animals,Soc Anim,1063-1119,1568-5306,1.0,Q3,
RSR. Reference services review,Ref Serv Rev,0090-7324,,1.0,Q3,
Canadian studies in population,Can Stud Popul,0380-1489,,1.0,Q3,
Polish journal of veterinary sciences,Pol J Vet Sci,1505-1773,2300-2557,1.0,Q3,
Journal of feminist family therapy,J Fem Fam Ther,0895-2833,,1.0,Q3,
Asia Pacific journal of social work,Asia Pac J Soc Work,0218-5385,,1.0,Q3,
"Families, systems & health : the journal of collaborative family healthcare",Fam Syst Health,1091-7527,1939-0602,1.0,Q3,
Raumforschung und Raumordnung,Raumforsch Raumordn,0034-0111,,1.0,Q3,
The Australian economic review,Aust Econ Rev,0004-9018,,1.0,Q3,
Acta applicandae mathematicae,Acta Appl Math,0167-8019,,1.0,Q3,
Journal of post Keynesian economics,J Post Keynes Econ,0160-3477,,1.0,Q3,
Economic computation and economic cybernetics studies and research,Econ Comput Econ Cybern Stud Res,0424-267X,,1.0,Q3,
National Institute economic review,Natl Inst Econ Rev,0027-9501,,1.0,Q3,
The Canadian journal of statistics = Revue canadienne de statistique,Can J Stat,0319-5724,1708-945X,1.0,Q3,
Acta orthopaedica et traumatologica turcica,Acta Orthop Traumatol Turc,1017-995X,2589-1294,1.0,Q3,
Developing world bioethics,Dev World Bioeth,1471-8731,1471-8847,1.0,Q3,
Journal of pain & palliative care pharmacotherapy,J Pain Palliat Care Pharmacother,1536-0288,1536-0539,1.0,Q3,
International journal of astrobiology,Int J Astrobiol,1473-5504,1475-3006,1.0,Q3,
Grana,Grana,0017-3134,1651-2049,1.0,Q3,
Seminars in cardiothoracic and vascular anesthesia,Semin Cardiothorac Vasc Anesth,1089-2532,1940-5596,1.0,Q3,
Operative Orthopadie und Traumatologie,Oper Orthop Traumatol,0934-6694,1439-0981,1.0,Q3,
Archives of Iranian medicine,Arch Iran Med,1029-2977,1735-3947,1.0,Q3,
Journal of perioperative practice,J Perioper Pract,1750-4589,2515-7949,1.0,Q3,
Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma & emergency surgery : TJTES,Ulus Travma Acil Cerrahi Derg,1306-696X,1307-7945,1.0,Q3,
Games and economic behavior,Games Econ Behav,0899-8256,,1.0,Q3,
International journal of odonatology : official organ of the Worldwide Dragonfly Association,Int J Odonatol,1388-7890,,1.0,Q3,
Journal of social work in end-of-life & palliative care,J Soc Work End Life Palliat Care,1552-4256,1552-4264,1.0,Q3,
Journal of contemporary criminal justice,J Contemp Crim Justice,1043-9862,1552-5406,1.0,Q3,
Statistical modelling,Stat Modelling,1471-082X,,1.0,Q3,
Econometric reviews,Econom Rev,0747-4938,,1.0,Q3,
"Scandinavian journal of statistics, theory and applications",Scand Stat Theory Appl,0303-6898,1467-9469,1.0,Q3,
Theoretical computer science,Theor Comput Sci,0304-3975,1879-2294,1.0,Q3,4.0
Biodemography and social biology,Biodemography Soc Biol,1948-5565,1948-5573,1.0,Q3,
Advanced emergency nursing journal,Adv Emerg Nurs J,1931-4485,1931-4493,1.0,Q3,
Journal of pediatric rehabilitation medicine,J Pediatr Rehabil Med,1874-5393,1875-8894,1.0,Q3,
Ichthyological research,Ichthyol Res,1341-8998,,1.0,Q3,
Phytotaxa,Phytotaxa,1179-3155,1179-3163,1.0,Q3,
Statistics,Statistics (Ber),0233-1888,1029-4910,1.0,Q3,
The Accounting historians journal,Account Hist J,0148-4184,,1.0,Q3,
Annals of mathematics and artificial intelligence,Ann Math Artif Intell,1012-2443,1573-7470,1.0,Q3,4.0
Journal of geometric mechanics,J Geom Mech,1941-4889,1941-4897,1.0,Q3,
Early years : an international journal of research and development,Early Years (Stoke-on-Trent),0957-5146,1472-4421,1.0,Q3,
Methodology and computing in applied probability,Methodol Comput Appl Probab,1387-5841,1573-7713,1.0,Q3,
Journal of laboratory physicians,J Lab Physicians,0974-2727,0974-7826,1.0,Q3,
Herzogia,Herzogia,0018-0971,,1.0,Q3,
Journal of time series analysis,J Time Ser Anal,0143-9782,1467-9892,1.0,Q3,
Communication quarterly,Commun Q,0146-3373,1746-4102,1.0,Q3,
Atlantic journal of communication,Atl J Commun,1545-6870,1545-6889,1.0,Q3,
Caspian journal of internal medicine,Caspian J Intern Med,2008-6164,2008-6172,1.0,Q3,
Deafness & education international : the journal of the British Association of Teachers of the Deaf,Deafness Educ Int,1464-3154,,1.0,Q3,
Vavilovskii zhurnal genetiki i selektsii,Vavilovskii Zhurnal Genet Selektsii,2500-0462,2500-3259,1.0,Q3,
Journal of ethnicity in criminal justice,J Ethn Crim Justice,1537-7938,1537-7946,1.0,Q3,
Foundations of physics,Found Phys,0015-9018,1572-9516,1.0,Q3,3.0
African journal of aquatic science,Afr J Aquat Sci,1608-5914,1727-9364,1.0,Q3,4.0
Econometric theory,Econ Theory (N Y),0266-4666,1469-4360,1.0,Q3,
Zeitschrift fur Erziehungswissenschaft : ZfE,Z Erziehwiss,1434-663X,1862-5215,1.0,Q3,
The Egyptian journal of internal medicine,Egypt J Intern Med,1110-7782,2090-9098,1.0,Q3,
World journal of plastic surgery,World J Plast Surg,2228-7914,2252-0724,1.0,Q3,
Turkish journal of medical sciences,Turk J Med Sci,1300-0144,1303-6165,1.0,Q3,
Open veterinary journal,Open Vet J,2226-4485,2218-6050,1.0,Q3,
Vascular specialist international,Vasc Specialist Int,2288-7970,2288-7989,1.0,Q3,
Information and computation,Inf Comput,0890-5401,1090-2651,1.0,Q3,4.0
Iranian journal of veterinary research,Iran J Vet Res,1728-1997,2252-0589,1.0,Q3,
Journal of social distress and the homeless,J Soc Distress Homeless,1053-0789,1573-658X,1.0,Q3,
Estudios de psicologia,Estud Psicol,0210-9395,1579-3699,1.0,Q3,
Probability in the engineering and informational sciences,Probab Eng Inf Sci,0269-9648,1469-8951,1.0,Q3,
Hand surgery & rehabilitation,Hand Surg Rehabil,2468-1229,2468-1210,1.0,Q3,
The Geneva risk and insurance review,Geneva Risk Insur Rev,1554-964X,1554-9658,1.0,Q3,
Public finance review : PFR,Public Finance Rev,1091-1421,1552-7530,1.0,Q3,
GEM : international journal on geomathematics,GEM,1869-2672,1869-2680,1.0,Q3,
Cataloging & classification quarterly,Cat Classif Q,0163-9374,1544-4554,1.0,Q3,
Critical review of international social and political philosophy,Crit Rev Int Soc Political Philos,1369-8230,1743-8772,1.0,Q3,
Asia Pacific journal of social work and development,Asia Pac J Soc Work Dev,0218-5385,2165-0993,1.0,Q3,
Asia Europe journal,Asia Eur J,1610-2932,1612-1031,1.0,Q3,
Forschung im ingenieurwesen,Forsch Ingenieurwes,0015-7899,1434-0860,1.0,Q3,
Journal of economic interaction and coordination,J Econ Interact Coord,1860-711X,1860-7128,1.0,Q3,
"Journal of education (Boston, Mass.)",J Educ (Boston),0022-0574,2515-5741,1.0,Q3,
IMA journal of mathematical control and information,IMA J Math Control Inf,0265-0754,1471-6887,1.0,Q3,4.0
Journal of chest surgery,J Chest Surg,2765-1606,2765-1614,1.0,Q3,
Journal of social and economic development,J Soc Econ Dev,0972-5792,2199-6873,1.0,Q3,
Japanese journal of statistics and data science,Jpn J Stat Data Sci,2520-8756,2520-8764,1.0,Q3,
Journal of the ASABE,J ASABE,2769-3295,2769-3287,1.0,Q3,
Journal of research in music education,J Res Music Educ,0022-4294,1945-0095,1.0,Q3,
Die Anaesthesiologie,Anaesthesiologie,2731-6858,2731-6866,1.0,Q3,
Mathematics and financial economics,Math Financ Econ,1862-9679,1862-9660,1.0,Q3,
Public works management & policy,Public Works Manag Policy,1087-724X,1552-7549,1.0,Q3,
Statistical inference for stochastic processes,Stat Inference Stoch Process,1387-0874,1572-9311,1.0,Q3,
Journal of theoretical and computational acoustics,J Theor Comput Acoust,2591-7285,2591-7811,1.0,Q3,4.0
Journal of beliefs & values : studies in religion and education,J Beliefs Values,1361-7672,1469-9362,1.0,Q3,
The American Journal of dermatopathology,Am J Dermatopathol,0193-1091,1533-0311,1.0,Q4,
Annals of clinical biochemistry,Ann Clin Biochem,0004-5632,1758-1001,1.0,Q4,
Annals of clinical and laboratory science,Ann Clin Lab Sci,0091-7370,1550-8080,1.0,Q4,
Medical dosimetry : official journal of the American Association of Medical Dosimetrists,Med Dosim,0958-3947,1873-4022,1.0,Q4,
Magnesium research,Magnes Res,0953-1424,1952-4021,1.0,Q4,
Community dental health,Community Dent Health,0265-539X,2515-1746,1.0,Q4,
Clinical nephrology,Clin Nephrol,0301-0430,,1.0,Q4,
"Development, growth & differentiation",Dev Growth Differ,0012-1592,1440-169X,1.0,Q4,
Diagnostic cytopathology,Diagn Cytopathol,8755-1039,1097-0339,1.0,Q4,
L'Encephale,Encephale,0013-7006,,1.0,Q4,
Ginekologia polska,Ginekol Pol,0017-0011,2543-6767,1.0,Q4,
Hemoglobin,Hemoglobin,0363-0269,1532-432X,1.0,Q4,
Journal of environmental health,J Environ Health,0022-0892,,1.0,Q4,4.0
The Malaysian journal of pathology,Malays J Pathol,0126-8635,,1.0,Q4,
Die Pharmazie,Pharmazie,0031-7144,,1.0,Q4,
Reumatismo,Reumatismo,0048-7449,,1.0,Q4,
"Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry",Spec Care Dentist,0275-1879,1754-4505,1.0,Q4,
Zeitschrift fur Rheumatologie,Z Rheumatol,0340-1855,1435-1250,1.0,Q4,
Ophthalmic genetics,Ophthalmic Genet,1381-6810,1744-5094,1.0,Q4,
Zeitschrift fur Gerontologie und Geriatrie,Z Gerontol Geriatr,0948-6704,1435-1269,1.0,Q4,
The new microbiologica,New Microbiol,1121-7138,,1.0,Q4,
Seminars in speech and language,Semin Speech Lang,0734-0478,1098-9056,1.0,Q4,
Scandinavian cardiovascular journal : SCJ,Scand Cardiovasc J,1401-7431,1651-2006,1.0,Q4,
Zeitschrift fur Kinder- und Jugendpsychiatrie und Psychotherapie,Z Kinder Jugendpsychiatr Psychother,1422-4917,,1.0,Q4,
African journal of reproductive health,Afr J Reprod Health,1118-4841,,1.0,Q4,
Seminars in dialysis,Semin Dial,0894-0959,1525-139X,1.0,Q4,
International maritime health,Int Marit Health,1641-9251,2081-3252,1.0,Q4,
"Annals of noninvasive electrocardiology : the official journal of the International Society for Holter and Noninvasive Electrocardiology, Inc",Ann Noninvasive Electrocardiol,1082-720X,1542-474X,1.0,Q4,
Se pu = Chinese journal of chromatography,Se Pu,1000-8713,1872-2059,1.0,Q4,3.0
International journal of toxicology,Int J Toxicol,1091-5818,1092-874X,1.0,Q4,
Laboratory medicine,Lab Med,0007-5027,1943-7730,1.0,Q4,
Canadian journal of chemistry,Can J Chem,0008-4042,1480-3291,1.0,Q4,
Neues Jahrbuch fur Geologie und Palaontologie. Abhandlungen,Neues Jahrb Geol Palaontol Abh,0077-7749,,1.0,Q4,
Science & sports,Sci Sports,0765-1597,,1.0,Q4,
Allergo Journal : interdisziplinare Zeitschrift fur Allergologie und Umweltmedizin : Organ der Deutschen Gesellschaft fur Allergie- und Immunitatsforschung,Allergo J,0941-8849,2195-6405,1.0,Q4,
Journal of multicultural counseling and development,J Multicult Couns Devel,0883-8534,,1.0,Q4,
Journal of cross-cultural gerontology,J Cross Cult Gerontol,0169-3816,1573-0719,1.0,Q4,
Journal of electronic imaging,J Electron Imaging,1017-9909,,1.0,Q4,4.0
The neurologist,Neurologist,1074-7931,2331-2637,1.0,Q4,
Current HIV research,Curr HIV Res,1570-162X,1873-4251,1.0,Q4,
"Health, risk & society",Health Risk Soc,1369-8575,1469-8331,1.0,Q4,
Journal of psychiatric practice,J Psychiatr Pract,1527-4160,1538-1145,1.0,Q4,
"Acta dermatovenerologica Alpina, Pannonica, et Adriatica",Acta Dermatovenerol Alp Pannonica Adriat,1318-4458,1581-2979,1.0,Q4,
Research in human development,Res Hum Dev,1542-7609,1542-7617,1.0,Q4,
Reviews on recent clinical trials,Rev Recent Clin Trials,1574-8871,1876-1038,1.0,Q4,
Genetic testing and molecular biomarkers,Genet Test Mol Biomarkers,1945-0265,1945-0257,1.0,Q4,
Future cardiology,Future Cardiol,1479-6678,1744-8298,1.0,Q4,
Journal of applied spectroscopy,J Appl Spectrosc,0021-9037,1573-8647,1.0,Q4,
The Indian journal of radiology & imaging,Indian J Radiol Imaging,0971-3026,1998-3808,1.0,Q4,
"International journal of artificial intelligence tools : architectures, languages, algorithms",Int J Artif Intell Tools,0218-2130,1793-6349,1.0,Q4,4.0
Letters in organic chemistry,Lett Org Chem,1570-1786,1875-6255,1.0,Q4,
Condensed matter physics,Condens Matter Phys,1607-324X,,1.0,Q4,
Journal of hunger & environmental nutrition,J Hunger Environ Nutr,1932-0248,1932-0256,1.0,Q4,
Journal of intergenerational relationships,J Intergener Relatsh,1535-0770,1535-0932,1.0,Q4,
Roeper review,Roeper Rev,0278-3193,1940-865X,1.0,Q4,
Journal of mechanics of materials and structures,J Mech Mater Struct,1559-3959,,1.0,Q4,4.0
Reading psychology,Read Psychol,0270-2711,1521-0685,1.0,Q4,
Revista peruana de medicina experimental y salud publica,Rev Peru Med Exp Salud Publica,1726-4634,1726-4642,1.0,Q4,
Journal of cytology,J Cytol,0970-9371,0974-5165,1.0,Q4,
Journal of Indian Prosthodontic Society,J Indian Prosthodont Soc,0972-4052,1998-4057,1.0,Q4,
Journal of vocational rehabilitation,J Vocat Rehabil,1052-2263,1878-6316,1.0,Q4,
Psychosis,Psychosis,1752-2439,1752-2447,1.0,Q4,
Journal of infection prevention,J Infect Prev,1757-1774,1757-1782,1.0,Q4,
GeroPsych,GeroPsych (Bern),1662-9647,1662-971X,1.0,Q4,
Pharmacy practice,Pharm Pract (Granada),1885-642X,1886-3655,1.0,Q4,
Salud colectiva,Salud Colect,1669-2381,1851-8265,1.0,Q4,
Journal of mid-life health,J Midlife Health,0976-7800,0976-7819,1.0,Q4,
Journal of addictions & offender counseling,J Addict Offender Couns,1055-3835,,1.0,Q4,
World journal for pediatric & congenital heart surgery,World J Pediatr Congenit Heart Surg,2150-1351,2150-136X,1.0,Q4,
Journal of child and adolescent mental health,J Child Adolesc Ment Health,1728-0583,1728-0591,1.0,Q4,
"Physica. C, Superconductivity",Physica C Supercond,0921-4534,1873-2143,1.0,Q4,4.0
Therapeutic hypothermia and temperature management,Ther Hypothermia Temp Manag,2153-7658,2153-7933,1.0,Q4,
Revista espanola de medicina nuclear e imagen molecular,Rev Esp Med Nucl Imagen Mol,2253-654X,2253-8070,1.0,Q4,
Toxicology and environmental health sciences,Toxicol Environ Health Sci,2005-9752,2233-7784,1.0,Q4,4.0
Population ecology,Popul Ecol,1438-3896,1438-390X,1.0,Q4,4.0
Occupational therapy in health care,Occup Ther Health Care,0738-0577,1541-3098,1.0,Q4,
Optoelectronics letters,Optoelectron Lett,1673-1905,1993-5013,1.0,Q4,
Journal of family medicine and primary care,J Family Med Prim Care,2249-4863,2278-7135,1.0,Q4,
Chemistry of heterocyclic compounds,Chem Heterocycl Compd (N Y),0009-3122,1573-8353,1.0,Q4,4.0
Molecular biology research communications,Mol Biol Res Commun,2322-181X,2345-2005,1.0,Q4,
"Timing & time perception (Leiden, Netherlands)",Timing Time Percept,2213-445X,2213-4468,1.0,Q4,
Journal of molecular and engineering materials,J Mol Eng Mater,2251-2373,2251-2381,1.0,Q4,4.0
Journal of cancer metastasis and treatment,J Cancer Metastasis Treat,2394-4722,2454-2857,1.0,Q4,
Journal of cardiovascular echography,J Cardiovasc Echogr,2211-4122,2347-193X,1.0,Q4,
Jornal vascular brasileiro,J Vasc Bras,1677-5449,1677-7301,1.0,Q4,
Journal of micro- and nano-manufacturing,J Micro Nanomanuf,2166-0468,2166-0476,1.0,Q4,
Advances in civil engineering materials,Adv Civ Eng Mater,2379-1357,2165-3984,1.0,Q4,4.0
Hong Kong physiotherapy journal : official publication of the Hong Kong Physiotherapy Association Limited = Wu li chih liao,Hong Kong Physiother J,1013-7025,1876-441X,1.0,Q4,
Marine Technology Society journal,Mar Technol Soc J,0025-3324,1948-1209,1.0,Q4,
"Virologie (Montrouge, France)",Virologie (Montrouge),1267-8694,,1.0,Q4,
Journal of enabling technologies,J Enabling Technol,2398-6263,2398-6271,1.0,Q4,
Current organocatalysis,Curr Organocatal,2213-3372,2213-3380,1.0,Q4,
Pharmaceutical chemistry journal,Pharm Chem J,0091-150X,1573-9031,1.0,Q4,
Philosophy of management,Philos Manag,1740-3812,2052-9597,1.0,Q4,
International journal of modelling identification and control,Int J Model Identif Control,1746-6172,1746-6180,1.0,Q4,4.0
"Accreditation and quality assurance : journal for quality, comparability and reliability in chemical measurement",Accredit Qual Assur,0949-1775,1432-0517,1.0,Q4,
Minerva obstetrics and gynecology,Minerva Obstet Gynecol,2724-606X,2724-6450,1.0,Q4,
Journal of aging and environment,J Aging Environ,2689-2618,2689-2626,1.0,Q4,
Progress in development studies,Prog Dev Stud,1464-9934,1477-027X,1.0,Q4,
Chinese journal of chemical physics,Chi J Chem Phys,1674-0068,2327-2244,1.0,Q4,3.0
The Southern African journal of critical care : the official journal of the Critical Care Society,South Afr J Crit Care,1562-8264,2078-676X,1.0,Q4,
The review of socionetwork strategies,Rev Socionetwork Strateg,2523-3173,1867-3236,1.0,Q4,4.0
Postepy psychiatrii neurologii,Postep Psychiatr Neurol,1230-2813,2720-5371,1.0,Q4,
The Egyptian rheumatologist,Egypt Rheumatol,1110-1164,2090-2433,1.0,Q4,
Journal of neutron research,J Neutron Res,1023-8166,1477-2655,1.0,Q4,
Advances in autism,Adv Autism,2056-3868,2056-3876,1.0,Q4,
The Dickensian,Dickensian,0012-2440,,1.0,,
"Meta (Montreal, Quebec)",Meta,0026-0452,,1.0,,
